Site_Name,Phase,Activity Name,Equipment,Activity ID,Team,Employee,Planned Start,Planned Completion,Status,Actual Start Date,Completed Date,Percentage Complete,Task Duration,Float,Complexity
400,07-REASSEMBLY,Parts assembly,111-6501,111-6501-3782,Mechanical,KHTARE,2/7/2022,2/7/2022 10:30,Completed,2/9/2022 17:20,2/14/2022 20:54,100,4,315,1
400,07-REASSEMBLY,Pressure test preparations,111-6501,111-6501-3783,Mechanical,KHTARE,2/7/2022,2/7/2022 14:30,Completed,2/10/2022 10:03,2/10/2022 10:03,,4,315,1
300 - hot area,01-PRE STO,Temporary piping,111-6301,111-6301-7057,Operations,Gdenis,1/30/2022,1/30/2022 12:00,Completed,2/4/2022 9:36,2/4/2022 9:36,,4,1444,1
300 - hot area,02-SHUTDOWN,Stopping of feed to section,111-6301,111-6301-7058,Operations,Gdenis,2/6/2022,2/6/2022 11:00,Completed,2/4/2022 11:07,2/4/2022 11:07,,3,914.5,1
400,,IWR Non destruction test 111-6101,111-6101,df451a62-41b1-45c7-bf2e-2fa10a4bbee9,Inspections,Hmoshe,2/1/2022,2/1/2022 12:59,Completed,2/6/2022 12:55,2/6/2022 12:55,,,,
400,,IWR Pressure tests acceptance 112-6101,112-6101,fc36124c-46cf-4abe-9478-258de55fc9a3,Inspections,Hmoshe,2/13/2022,2/13/2022 13:29,Completed,2/15/2022 7:34,2/15/2022 7:34,,,,
400,08-TURNOVER,flanges leak test,111-6001,111-6001-9639,Operations,Mroee,3/15/2022,3/15/2022 10:00,Not started,,,,2,140.5,1
400,08-TURNOVER,Inertization (nitrogen),111-6001,111-6001-9641,Operations,Mroee,3/15/2022,3/15/2022 12:00,Not started,,,,2,140.5,1
300 - hot area,05-INSPECTIONS,Non destruction test,113-6311,113-6311-8375,Inspections,Hmoshe,3/4/2022,3/4/2022 15:30,Completed,3/2/2022 10:08,3/2/2022 12:59,100,4,0,1
300 - hot area,07-REASSEMBLY,Uninstalling transformer / lights,113-6311,113-6311-8376,Electrical,Cyaron,3/4/2022,3/6/2022 7:30,Completed,3/2/2022 9:25,3/2/2022 9:25,,2,0,1
400,05-INSPECTIONS,PID test,140001613,140001613-8244,Inspections,Yemil,2/7/2022,2/8/2022 8:00,Completed,2/24/2022 9:56,2/24/2022 9:56,100,9,421.5,1
400,03-DISASSEMBLY,Treatment,140001613,140001613-4436,Mechanical,Barnon,2/7/2022,2/7/2022 11:00,Completed,2/10/2022 9:17,2/13/2022 9:51,,3,388.5,1
180,02-SHUTDOWN,Displacement of H.C with inert gas (Nitrogen) to flare,C180-F206B,C180-F206B-43851,Operations,Operatinspec1,2/7/2022,2/7/2022 3:00,Completed,2/11/2022 11:17,2/11/2022 11:17,,1,865,1
400,01-PRE STO,Insulation disassembly,093-6203B,093-6203B-4788,Mechanical,Kviam,1/30/2022,1/30/2022 13:00,Completed,2/2/2022 12:05,2/6/2022 16:27,100,5,464.5,1
400,05-INSPECTIONS,Non destructive testing,093-6203B,093-6203B-4807,Inspections,Ggadi,2/1/2022,2/1/2022 16:00,Completed,2/10/2022 18:37,2/14/2022 8:54,100,2,440.5,1
300 - hot area,05-INSPECTIONS,Visual examination,102-7101,102-7101-5321,Inspections,Drami,2/11/2022,2/11/2022 11:30,Completed,2/6/2022 14:05,2/6/2022 14:05,,5,372,1
300 - hot area,05-INSPECTIONS,Non destructive testing,102-7101,102-7101-5322,Inspections,Drami,2/11/2022,2/13/2022 13:30,Completed,2/6/2022 14:05,2/6/2022 14:05,,12,372,1
300 - hot area,05-INSPECTIONS,Visual test,111-8801B,111-8801B-7486,Inspections,Hmoshe,2/18/2022,2/20/2022 8:30,Completed,2/24/2022 10:25,2/24/2022 10:25,100,3,213.5,1
300 - hot area,05-INSPECTIONS,Non destruction test,111-8801B,111-8801B-7487,Inspections,Hmoshe,2/20/2022,2/20/2022 9:30,Completed,2/24/2022 13:19,2/25/2022 8:19,100,1,0,1
400,02-SHUTDOWN,Depressureing to flare,161-6102BLDAR,161-6102BLDAR-6797,Operations,Mroee,1/30/2022,1/31/2022 10:00,Completed,1/31/2022 14:10,1/31/2022 14:10,,24,1055.5,1
400,02-SHUTDOWN,Displacement of H.C with inert gas (Nitrogen) to flare,161-6102BLDAR,161-6102BLDAR-6799,Operations,Mroee,1/31/2022,2/2/2022 10:00,Completed,1/31/2022 14:25,2/3/2022 10:18,,48,1056.5,1
300 - hot area,02-SHUTDOWN,Liquid emptying,111-6301,111-6301-7059,Operations,Gdenis,2/6/2022,2/6/2022 23:00,Completed,2/4/2022 11:33,2/4/2022 11:33,,12,914.5,1
300 - hot area,02-SHUTDOWN,gas depressurise to flare,111-6301,111-6301-7060,Operations,Gdenis,2/6/2022,2/7/2022 5:00,Completed,2/6/2022 13:53,2/6/2022 13:53,,6,914.5,1
400,07-REASSEMBLY,Pressure test,111-6501,111-6501-3784,Mechanical,KHTARE,2/7/2022,2/7/2022 18:30,Completed,2/13/2022 9:49,2/14/2022 20:58,100,4,315,1
400,07-REASSEMBLY,Pressure tests acceptance,111-6501,111-6501-3785,Inspections,Hmoshe,2/8/2022,2/8/2022 9:30,Completed,2/15/2022 8:17,2/15/2022 8:18,50,3,315,1
300 - hot area,05-INSPECTIONS,Visual examination,093-8511,093-8511-5673,Inspections,Drami,3/2/2022,3/2/2022 10:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,2,-13,1
300 - hot area,07-REASSEMBLY,Dismantling an internal scaffold,093-8511,093-8511-5675,Mechanical,AROJE,3/2/2022,3/2/2022 10:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,0,-13,1
400,,IWR Visual test 112-6101,112-6101,c1ecdd2c-ae81-4146-8929-3edddc129521,Inspections,Hmoshe,2/10/2022,2/10/2022 14:29,Completed,2/9/2022 12:58,2/9/2022 12:58,,,,
400,,IWR Visual test 111-6102,111-6102,312b4ede-6ae2-4361-8f79-7948f7dabaeb,Inspections,Hmoshe,2/4/2022,2/4/2022 12:29,Completed,2/8/2022 11:59,2/8/2022 11:59,,,,
300 - hot area,07-REASSEMBLY,Cleanliness check & closing vessel approval,102-7101,102-7101-5324,Operations,Horen,3/3/2022,3/3/2022 16:00,Completed,2/25/2022 11:58,2/25/2022 11:58,,3,0,1
400,08-TURNOVER,Final leak test,111-6001,111-6001-9642,Operations,Mroee,3/15/2022,3/15/2022 14:00,Not started,,,,2,140.5,1
400,08-TURNOVER,Insulation assembly,111-6001,111-6001-9643,Mechanical,KHTARE,3/15/2022,3/16/2022 10:00,Not started,,,,8,54.5,1
180,02-SHUTDOWN,Steaming,C180-F206B,C180-F206B-43852,Operations,Operatinspec1,2/7/2022,2/7/2022 12:00,Completed,2/11/2022 11:17,2/11/2022 11:17,,9,865,1
180,02-SHUTDOWN,Cooling of vessels after steaming,C180-F206B,C180-F206B-43853,Operations,Operatinspec1,2/7/2022,2/7/2022 21:00,Completed,2/11/2022 11:07,2/11/2022 11:07,,9,865,1
300 - hot area,07-REASSEMBLY,Insertion of tube bundle,113-6311,113-6311-8377,Mechanical,Aaviv,3/6/2022,3/6/2022 12:30,Completed,3/2/2022 9:26,3/2/2022 9:26,,5,0,1
300 - hot area,07-REASSEMBLY,Parts assembly,113-6311,113-6311-8378,Mechanical,Aaviv,3/2/2022,3/2/2022 13:26,Completed,3/5/2022 16:44,3/5/2022 16:44,,4,128.6,1
400,03-DISASSEMBLY,Treatment,140001683,140001683-4441,Mechanical,Barnon,2/6/2022,2/6/2022 14:00,Completed,2/10/2022 9:17,2/13/2022 9:51,,6,406.5,1
400,01-PRE STO,Scaffolding erection time,140001683,140001683-4439,Mechanical,Barnon,1/23/2022,1/23/2022 14:00,Completed,1/25/2022 10:34,2/10/2022 9:00,80,6,540.5,1
300 - hot area,05-INSPECTIONS,Visual examination,093-5902,093-5902-5076,Inspections,Drami,3/2/2022,3/2/2022 10:00,Completed,3/2/2022 18:56,3/2/2022 18:56,,2,0,1
300 - hot area,05-INSPECTIONS,Non destructive testing,093-5902,093-5902-5077,Inspections,Drami,3/2/2022,3/2/2022 12:00,Completed,3/2/2022 18:56,3/2/2022 18:56,,2,0,1
300 - hot area,07-REASSEMBLY,Cleanliness check & closing vessel approval,093-8511,093-8511-5676,Operations,Horen,3/2/2022,3/2/2022 11:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,1,-25,1
400,08-TURNOVER,Insulation assembly,093-6203B,093-6203B-4819,Mechanical,Kviam,3/15/2022,3/15/2022 18:00,Not started,,,,10,61.5,1
400,02-SHUTDOWN,Stopping of feed to section,093-6207,093-6207-8910,Operations,Pmicha,1/30/2022,1/30/2022 11:00,Completed,1/30/2022 13:25,1/30/2022 13:25,,3,1121.5,1
300 - hot area,02-SHUTDOWN,Displacement with inert gas (Nitrogen) to flare,111-6301,111-6301-7061,Operations,Gdenis,2/7/2022,2/7/2022 9:00,Completed,2/10/2022 10:53,2/10/2022 12:08,,4,914.5,1
300 - hot area,02-SHUTDOWN,Steaming,111-6301,111-6301-7062,Operations,Gdenis,2/7/2022,2/8/2022 9:00,Completed,2/13/2022 8:50,2/16/2022 6:47,,24,1133,1
300 - hot area,07-REASSEMBLY,Uninstalling transformer / lights,111-8801B,111-8801B-7488,Electrical,Cyaron,2/20/2022,2/20/2022 11:30,Completed,2/23/2022 15:35,2/23/2022 15:35,,2,213.5,1
300 - hot area,07-REASSEMBLY,Insertion of tube bundle,111-8801B,111-8801B-7489,Mechanical,KHTARE,3/2/2022,3/2/2022 13:00,Completed,3/4/2022 10:31,3/5/2022 6:18,100,5,111,1
400,02-SHUTDOWN,Gas check and work clearance,161-6102BLDAR,161-6102BLDAR-6800,Operations,Mroee,2/2/2022,2/2/2022 5:00,Completed,2/3/2022 10:19,2/4/2022 13:40,,0,1061.5,1
400,03-DISASSEMBLY,Component / valve / connector disassembly,161-6102BLDAR,161-6102BLDAR-6803,Mechanical,Nsamoel,2/2/2022,2/2/2022 9:00,Completed,2/11/2022 10:17,2/11/2022 10:17,,1,429.5,1
400,,IWR Visual test 111-6104,111-6104,964a89c7-0b66-4717-81cb-2920cdf4ea54,Inspections,Hmoshe,2/2/2022,2/2/2022 11:29,Completed,2/9/2022 17:24,2/9/2022 17:24,,,,
400,,IWR Pressure tests acceptance 111-6107A,111-6107A,d71d9891-e8f4-4af1-be7b-46ae5850c123,Inspections,Hmoshe,2/6/2022,2/6/2022 15:59,Completed,2/11/2022 11:40,2/11/2022 11:40,,,,
300 - hot area,07-REASSEMBLY,Dismantling an internal scaffold,093-5902,093-5902-5078,Mechanical,Dmichael,3/1/2022,3/1/2022 15:00,Completed,2/23/2022 17:57,2/23/2022 17:57,,4,133,1
180,02-SHUTDOWN,Check of gas freeing efficiency,C180-F206B,C180-F206B-43854,Operations,Operatinspec1,2/7/2022,2/8/2022 6:00,Completed,2/11/2022 10:59,2/11/2022 10:59,,9,865,1
180,03-DISASSEMBLY,Opening a filter lid and cleaning the elements with nitrogen / water,C180-F206B,C180-F206B-43856,Mechanical,Sboris,2/8/2022,2/8/2022 15:30,Completed,2/17/2022 17:52,2/17/2022 17:52,,9,362.5,1
300 - hot area,07-REASSEMBLY,Uninstalling lights,102-7101,102-7101-5325,Electrical,Cyaron,2/13/2022,2/13/2022 17:30,Completed,2/14/2022 19:23,2/14/2022 19:23,,1,372,1
300 - hot area,07-REASSEMBLY,Closing manways / Drainage,102-7101,102-7101-5327,Mechanical,Tasaf,2/13/2022,2/14/2022 15:30,Completed,2/14/2022 19:28,2/14/2022 19:28,100,10,372,1
400,08-TURNOVER,Scaffold deconstruction,111-6001,111-6001-9644,Mechanical,KHTARE,3/16/2022,3/16/2022 13:00,Not started,,,,3,54.5,1
400,07-REASSEMBLY,Pressure test,112-6001,112-6001-4035,Mechanical,KHTARE,2/16/2022,2/16/2022 13:30,Completed,2/15/2022 19:52,2/15/2022 19:52,100,5,260,1
400,03-DISASSEMBLY,Component / valve / connector assembly & moment tightening,161-6102BLDAR,161-6102BLDAR-6804,Mechanical,Nsamoel,2/2/2022,2/2/2022 12:00,Completed,2/11/2022 10:17,2/11/2022 10:17,,3,429.5,1
400,07-REASSEMBLY,removing spades / fig 8,111-6501,111-6501-3786,Mechanical,KHTARE,2/8/2022,2/8/2022 13:30,Completed,2/19/2022 10:10,2/19/2022 10:10,100,4,315,1
400,08-TURNOVER,flanges leak test,111-6501,111-6501-3787,Operations,Pmicha,3/15/2022,3/15/2022 12:00,Completed,3/8/2022 8:44,3/8/2022 8:44,,4,139.5,1
400,03-DISASSEMBLY,Insulation removal time,140001867,140001867-4445,Mechanical,Barnon,2/6/2022,2/6/2022 11:00,Completed,2/10/2022 9:00,2/10/2022 9:00,,3,400.5,1
400,03-DISASSEMBLY,Treatment,140001867,140001867-4446,Mechanical,Barnon,2/6/2022,2/6/2022 14:00,Completed,2/10/2022 9:17,2/13/2022 9:51,,3,400.5,1
300 - hot area,07-REASSEMBLY,Pressure test preparations,113-5701,113-5701-14179,Mechanical,KHTARE,3/2/2022,3/3/2022 10:00,Start time failed,,,,7,108,1
300 - hot area,07-REASSEMBLY,Pressure test,113-5701,113-5701-14180,Mechanical,KHTARE,3/3/2022,3/3/2022 16:00,Start time failed,,,,6,108,1
180,07-REASSEMBLY,"Inserting a filter element back, replacing the gasket and closing back the lid",C180-F206B,C180-F206B-43858,Mechanical,Sboris,2/8/2022,2/9/2022 12:30,Completed,2/20/2022 15:30,2/20/2022 15:30,,9,362.5,1
300 - hot area,07-REASSEMBLY,Uninstalling lights,093-8511,093-8511-5677,Electrical,Cyaron,3/2/2022,3/2/2022 12:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,1,-13,1
300 - hot area,07-REASSEMBLY,Instrumentation pipe assembly,093-8511,093-8511-5678,Instrumentation,Peyuri,3/2/2022,3/3/2022 9:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,9,-13,1
300 - hot area,02-SHUTDOWN,equipment cooling after steaming,111-6301,111-6301-7063,Operations,Gdenis,2/8/2022,2/8/2022 13:00,Completed,2/16/2022 6:47,2/16/2022 6:47,,4,1133,1
300 - hot area,02-SHUTDOWN,Check of gas freeing efficiency,111-6301,111-6301-7064,Operations,Gdenis,2/8/2022,2/13/2022 8:00,Completed,2/13/2022 8:59,2/17/2022 15:38,,115,1128.5,1
300 - hot area,07-REASSEMBLY,Cleanliness check & closing vessel approval,093-5902,093-5902-5079,Operations,Gdenis,3/2/2022,3/2/2022 10:00,Completed,3/2/2022 18:56,3/2/2022 18:56,,2,0,1
300 - hot area,07-REASSEMBLY,Pressure test preparations,113-6311,113-6311-8379,Mechanical,Aaviv,3/6/2022,3/7/2022 7:30,Completed,3/2/2022 18:03,3/2/2022 18:03,,3,0,1
300 - hot area,07-REASSEMBLY,Pressure test,113-6311,113-6311-8380,Mechanical,Aaviv,3/2/2022,3/3/2022 9:26,Completed,3/5/2022 16:44,3/5/2022 16:44,,5,128.6,1
400,02-SHUTDOWN,Liquid emptying,093-6207,093-6207-8911,Operations,Pmicha,1/30/2022,1/30/2022 16:00,Completed,1/30/2022 14:41,1/30/2022 14:41,,5,1121.5,1
400,02-SHUTDOWN,Check of gas freeing efficiency,093-6207,093-6207-8916,Operations,Pmicha,1/30/2022,2/2/2022 6:00,Completed,2/1/2022 15:37,2/1/2022 15:38,,62,1060.5,1
300 - hot area,07-REASSEMBLY,"Manways seal tightness test, Drainage",102-7101,102-7101-5328,Operations,Horen,3/4/2022,3/4/2022 18:00,Completed,2/25/2022 11:58,2/25/2022 11:58,,3,0,1
300 - hot area,07-REASSEMBLY,Parts assembly,111-8801B,111-8801B-7490,Mechanical,KHTARE,3/2/2022,3/2/2022 17:00,Completed,3/5/2022 12:39,3/5/2022 12:39,100,4,111,1
300 - hot area,07-REASSEMBLY,Pressure test preparations,111-8801B,111-8801B-7491,Mechanical,KHTARE,3/2/2022,3/3/2022 9:00,Completed,3/5/2022 15:06,3/5/2022 15:06,,4,111,1
400,,IWR Visual test 111-6107A,111-6107A,770b4346-1343-4c12-bc53-a6512e2e016e,Inspections,Hmoshe,2/4/2022,2/4/2022 8:59,Completed,2/8/2022 11:20,2/8/2022 11:20,,,,
400,,IWR Visual test 111-6107B,111-6107B,1e1a81b4-2e6f-457c-a3f2-921aa4285e69,Inspections,Hmoshe,2/4/2022,2/4/2022 8:59,Completed,2/8/2022 11:08,2/8/2022 11:08,,,,
400,03-DISASSEMBLY,installing spades / fig 8 & openinig manways,093-6207,093-6207-8918,Mechanical,Tasaf,2/2/2022,2/2/2022 16:00,Completed,2/2/2022 8:51,2/2/2022 8:51,100,8,398.5,1
400,01-PRE STO,Scaffold Construction,112-6001,112-6001-4008,Mechanical,KHTARE,1/30/2022,1/30/2022 17:00,Completed,1/31/2022 6:09,1/31/2022 6:09,100,9,269.5,1
400,02-SHUTDOWN,Stopping of feed to section,112-6001,112-6001-4010,Operations,Mroee,1/30/2022,1/30/2022 19:00,Completed,1/30/2022 14:43,1/30/2022 14:43,,2,659.5,1
400,08-TURNOVER,Inerting (nitrogen),161-6102BLDAR,161-6102BLDAR-6808,Operations,Mroee,3/15/2022,3/15/2022 9:00,Not started,,,,1,144.5,1
400,08-TURNOVER,Leak test,161-6102BLDAR,161-6102BLDAR-6809,Operations,Mroee,3/15/2022,3/16/2022 9:00,Not started,,,,24,144.5,1
300 - hot area,03-DISASSEMBLY,Insulation removal,111-6301,111-6301-7065,Mechanical,Aaviv,2/15/2022,2/15/2022 10:00,Completed,2/16/2022 20:11,2/16/2022 20:11,100,2,364.5,1
300 - hot area,03-DISASSEMBLY,installing spades / fig 8,111-6301,111-6301-7066,Mechanical,Aaviv,2/20/2022,2/20/2022 10:30,Completed,2/17/2022 18:10,2/17/2022 18:10,,4,322,1
180,07-REASSEMBLY,Insulation assembly,C180-F206B,C180-F206B-43859,Mechanical,Sboris,2/9/2022,2/9/2022 16:30,Completed,2/20/2022 15:30,2/20/2022 15:30,,4,362.5,1
180,08-TURNOVER,Drying,C180-F206B,C180-F206B-43861,Operations,Operatinspec1,3/15/2022,3/15/2022 9:00,Not started,,,,1,479,1
400,08-TURNOVER,Inertization (nitrogen),111-6501,111-6501-3789,Operations,Pmicha,3/15/2022,3/15/2022 13:00,Not started,,,,1,139.5,1
400,08-TURNOVER,Final leak test,111-6501,111-6501-3790,Operations,Pmicha,3/15/2022,3/15/2022 15:00,Not started,,,,2,139.5,1
400,07-REASSEMBLY,Insulation assembly time,140001867,140001867-4447,Mechanical,Barnon,3/15/2022,3/15/2022 14:00,Not started,,,,6,3,1
400,03-DISASSEMBLY,Insulation removal time,140001908,140001908-4450,Mechanical,Barnon,2/6/2022,2/6/2022 12:00,Completed,2/10/2022 9:00,2/10/2022 9:00,,4,408.5,1
300 - hot area,07-REASSEMBLY,Closing manways / Drainage,093-8511,093-8511-5679,Mechanical,AROJE,3/3/2022,3/3/2022 12:00,Completed,3/5/2022 11:26,3/5/2022 11:26,,3,-13,1
300 - hot area,07-REASSEMBLY,"Manways seal tightness test, Drainage",093-8511,093-8511-5680,Operations,Horen,3/3/2022,3/3/2022 15:00,Completed,3/6/2022 18:14,3/6/2022 18:14,,3,-25,1
300 - hot area,07-REASSEMBLY,Uninstalling lights,093-5902,093-5902-5080,Electrical,Cyaron,3/1/2022,3/1/2022 18:00,Completed,2/23/2022 17:57,2/23/2022 17:57,,1,133,1
300 - hot area,07-REASSEMBLY,Instrumentation pipe assembly,093-5902,093-5902-5081,Instrumentation,Peyuri,3/2/2022,3/2/2022 12:00,Completed,3/2/2022 18:56,3/2/2022 18:56,,4,0,1
300 - hot area,07-REASSEMBLY,Removing spades,102-7101,102-7101-5329,Mechanical,Tasaf,2/15/2022,2/16/2022 8:30,Completed,2/14/2022 19:28,2/14/2022 19:28,100,14,372,1
300 - hot area,08-TURNOVER,Flange leak test,102-7101,102-7101-5330,Operations,Horen,3/7/2022,3/7/2022 18:30,Completed,2/25/2022 11:58,2/25/2022 11:58,,10,0,1
400,03-DISASSEMBLY,Ventilation / preparations for passing the vessel over,093-6207,093-6207-8919,Operations,Pmicha,2/2/2022,2/2/2022 19:00,Completed,2/3/2022 15:49,2/3/2022 15:49,,3,974,1
300 - hot area,07-REASSEMBLY,Pressure tests acceptance,113-6311,113-6311-8381,Inspections,Hmoshe,3/3/2022,3/3/2022 12:26,Start time failed,,,,3,128.6,1
300 - hot area,07-REASSEMBLY,removing spades / fig 8,113-6311,113-6311-8382,Mechanical,Aaviv,3/3/2022,3/3/2022 16:26,Start time failed,,,,4,128.6,1
300 - hot area,07-REASSEMBLY,Pressure test,111-8801B,111-8801B-7492,Mechanical,KHTARE,3/3/2022,3/4/2022 9:00,Completed,3/8/2022 8:15,3/8/2022 8:15,60,6,105,1
300 - hot area,07-REASSEMBLY,Pressure tests acceptance,111-8801B,111-8801B-7493,Inspections,Hmoshe,3/4/2022,3/4/2022 12:00,Start time failed,,,,3,105,1
300 - hot area,07-REASSEMBLY,Pressure tests acceptance,113-5701,113-5701-14181,Inspections,Hmoshe,3/3/2022,3/4/2022 7:00,Start time failed,,,,3,108,1
300 - hot area,07-REASSEMBLY,removing spades / fig 8,113-5701,113-5701-14182,Mechanical,KHTARE,3/4/2022,3/4/2022 13:00,Start time failed,,,,6,108,1
400,,IWR Pressure tests acceptance 111-6001,111-6001,4dbb9bfe-b992-4957-8212-0f8c76a64492,Inspections,Hmoshe,2/8/2022,2/8/2022 12:29,Completed,2/11/2022 10:27,2/11/2022 10:27,,,,
400,,IWR Visual test 111-6001,111-6001,0ad97897-0b02-4859-a040-f95e9ccf9a94,Inspections,Hmoshe,2/6/2022,2/6/2022 14:29,Completed,2/8/2022 7:03,2/8/2022 7:04,,,,
400,02-SHUTDOWN,Liquid emptying,112-6001,112-6001-4011,Operations,Mroee,1/30/2022,1/30/2022 20:00,Completed,1/30/2022 14:41,1/30/2022 14:41,,1,659.5,1
400,02-SHUTDOWN,gas depressurise to flare,112-6001,112-6001-4012,Operations,Mroee,1/30/2022,1/30/2022 22:00,Completed,1/31/2022 14:13,1/31/2022 14:13,,2,659.5,1
300 - hot area,03-DISASSEMBLY,heat exchangers covers Desmantelling,111-6301,111-6301-7067,Mechanical,Aaviv,2/22/2022,2/23/2022 9:00,Completed,2/23/2022 9:06,2/23/2022 9:06,,4,169,1
300 - hot area,03-DISASSEMBLY,tube bundle extraction,111-6301,111-6301-7068,Mechanical,Aaviv,2/23/2022,2/23/2022 13:00,Completed,2/23/2022 9:06,2/23/2022 9:06,,4,169,1
300 - hot area,07-REASSEMBLY,Closing manways / Drainage,093-5902,093-5902-5082,Mechanical,Dmichael,3/2/2022,3/2/2022 16:00,Completed,3/2/2022 18:56,3/2/2022 18:56,,4,0,1
180,08-TURNOVER,Gross leak testing,C180-F206B,C180-F206B-43863,Operations,Operatinspec1,3/15/2022,3/15/2022 18:00,Not started,,,,9,479,1
180,08-TURNOVER,Scaffold deconstruction,C180-F206B,C180-F206B-43865,Mechanical,Sboris,2/10/2022,2/10/2022 15:30,Completed,2/20/2022 15:30,2/20/2022 15:30,,9,397.5,1
400,02-SHUTDOWN,Stopping of feed to the section,161-6201BLDAR,161-6201BLDAR-6816,Operations,Pmicha,1/30/2022,1/30/2022 10:00,Completed,1/30/2022 14:45,1/30/2022 14:45,,2,1121.5,1
400,02-SHUTDOWN,Depressureing to flare,161-6201BLDAR,161-6201BLDAR-6817,Operations,Pmicha,1/30/2022,1/30/2022 12:00,Completed,1/31/2022 14:10,1/31/2022 14:10,,2,1121.5,1
400,08-TURNOVER,Insulation assembly,111-6501,111-6501-3791,Mechanical,KHTARE,3/15/2022,3/16/2022 11:00,Not started,,,,8,53.5,1
400,08-TURNOVER,Scaffold deconstruction,111-6501,111-6501-3792,Mechanical,KHTARE,3/16/2022,3/16/2022 14:00,Not started,,,,3,53.5,1
300 - hot area,07-REASSEMBLY,Removing spades,093-8511,093-8511-5681,Mechanical,AROJE,3/3/2022,3/3/2022 18:00,Completed,3/6/2022 18:14,3/6/2022 18:14,,3,-13,1
300 - hot area,08-TURNOVER,Flange leak test,093-8511,093-8511-5682,Operations,Horen,3/15/2022,3/15/2022 11:00,Not started,,,,3,404,1
400,03-DISASSEMBLY,Treatment,140001908,140001908-4451,Mechanical,Barnon,2/7/2022,2/7/2022 11:00,Completed,2/10/2022 9:16,2/10/2022 9:16,,3,388.5,1
400,07-REASSEMBLY,Insulation assembly time,140001908,140001908-4452,Mechanical,Barnon,3/15/2022,3/15/2022 16:00,Not started,,,,8,1,1
300 - hot area,04-CLEANING,Transporting the tube bundle back and forth to the washing station,111-6301,111-6301-7069,Mechanical,Aaviv,2/23/2022,2/23/2022 15:00,Completed,2/23/2022 9:07,2/23/2022 9:07,,2,169,1
